title	name	menu_1	menu_2	menu_3	menu_4	menu_5	meaning	description	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal	
		Filtration					OBI:0302885							
			Air filtration				GENEPIO:0100031							
		Lavage					OBI:0600044							
			Bronchoalveolar lavage (BAL)				GENEPIO:0100032							
			Gastric Lavage				GENEPIO:0100033							
		Lumbar Puncture					NCIT:C15327							
		Necropsy					MMO:0000344							
		Phlebotomy					NCIT:C28221							
		Rinsing					GENEPIO:0002116							
			Saline gargle (mouth rinse and gargle)				GENEPIO:0100034							
		Scraping					GENEPIO:0100035							
		Swabbing					GENEPIO:0002117							
		Finger Prick					GENEPIO:0100036							
		Washout Tear Collection					GENEPIO:0100038							
														
														
collection device menu	CollectionDeviceMenu	Air filter					ENVO:00003968							
		Blood Collection Tube					OBI:0002859							
		Bronchoscope					OBI:0002826							
		Collection Container					OBI:0002088							
		Collection Cup					GENEPIO:0100026							
		Fibrobronchoscope Brush					OBI:0002825							
		Filter					GENEPIO:0100103							
		Fine Needle					OBI:0002827							
		Microcapillary tube					OBI:0002858							
		Micropipette					OBI:0001128							
		Needle					OBI:0000436							
		Serum Collection Tube					OBI:0002860							
		Sputum Collection Tube					OBI:0002861							
		Suction Catheter					OBI:0002831							
		Swab					GENEPIO:0100027							
		Urine Collection Tube					OBI:0002862							
		Virus Transport Medium					OBI:0002866							
														
														
host (scientific name) menu	HostScientificNameMenu	Homo sapiens					NCBITaxon:9606							
		Bos taurus					NCBITaxon:9913							
		Canis lupus familiaris					NCBITaxon:9615							
		Chiroptera					NCBITaxon:9397							
		Columbidae					NCBITaxon:8930							
		Felis catus					NCBITaxon:9685							
		Gallus gallus					NCBITaxon:9031							
		Manis					NCBITaxon:9973							
		Manis javanica					NCBITaxon:9974							
		Neovison vison					NCBITaxon:452646							
		Panthera leo					NCBITaxon:9689							
		Panthera tigris					NCBITaxon:9694							
		Rhinolophidae					NCBITaxon:58055							
		Rhinolophus affinis					NCBITaxon:59477							
		Sus scrofa domesticus					NCBITaxon:9825							
		Viverridae					NCBITaxon:9673							
														
														
														
organism menu	OrganismMenu	Severe acute respiratory syndrome coronavirus 2					NCBITaxon:2697049							
		Monkeypox virus												
		Enteric bacteria												
			Escherichia coli											
